ing_id	ING_NAME_ENG	ING_NAME_KR
3206	Nicotinamide/Pyridoxine/Thiamine	니코틴산아미드/피리독신/티아민
3207	Nicotine	니코틴
3208	Nicotinic Acid	니코틴산
3209	Nifedipine	니페디핀
3210	Nifuratel/Nystatin	니푸라텔/니스타틴
3211	Nifuroxazide	니푸록사지드
3212	Nilotinib	닐로티닙
3213	Nilvadipine	닐바디핀
3214	Nimesulide	니메술리드
3215	Nimodipine	니모디핀
3216	Nintedanib	닌테다닙
3217	Nipradilol	니프라딜롤
3218	Nisoldipine	니솔디핀
3219	Nitisinone	니티시논
3220	Nitrendipine	니트렌디핀
3221	Nitrofurantoin	니트로푸란토인
3222	Nitrofurazone	니트로푸라존
3223	Nitroglycerin	니트로글리세린
3224	Nitroprusside	니트로푸루시드
3225	Nitrous Oxide	아산화질소
3226	Nivolumab	니볼루맙
3227	Nizatidine	니자티딘
3228	Nizophenone	니조페논
3229	Nonacog Gamma	노나코그 Gamma
3230	Nonacog Α	노나코그 Α
3231	Nonoxynol-9	노녹시놀-9
3232	Norepinephrine	노르에피네프린
3233	Norfloxacin	노르플록사신
3234	Nortriptyline	노르트립틸린
3235	Nusinersen	뉴시너센
3236	Nystatin	니스타틴
3237	Obinutuzumab	오비누투주맙
3238	Ocriplasmin	오크리플라스민
3239	Octreotide	옥트레오티드
3240	Octylonium	옥틸로늄
3241	Ofloxacin	오플록사신
3242	Olanzapine	올란자핀
3243	Olaparib	올라파립
3244	Olaratumab	올라라투맙
3245	Olive/Soybean	Olive/콩
3246	Olmesartan	올메사르탄
3247	Olmesartan/Rosuvastatin	올메사르탄/로수바스타틴
3248	Olmesartan/S-Amlodipine	올메사르탄/S-암로디핀
3249	Olmutinib	올무티닙
3250	Olodaterol/Tiotropium	올로다테롤/티오트로피움
3251	Olopatadine	올로파타딘
3252	Olsalazine	Olsalazine
3253	Omalizumab	오말리주맙
3254	Ombitasvir/Paritaprevir/Ritonavir	옴비타스비르/파리타프레비르/리토나비르
3255	Omega-3 Acid	오메가3산
3256	Omega-3-Acid Ethyl Esters90	오메가-3-산에틸에스테르90
3257	Omega-3-Acid Ethyl Esters90/Rosuvastatin	오메가-3-산에틸에스테르90/로수바스타틴
3258	Omega-3-Acid Triglycerides/Soybean Oil/Triglyceride	오메가-3-산트리글리세리드/대두유/트리글리세리드
3259	Omeprazole	오메프라졸
3260	Omeprazole/Sodium Bicarbonate	오메프라졸/탄산수소나트륨
3261	Ondansetron	온단세트론
3262	Ononidis Radix/Orthosiphonis Folium/Solidaginis	오노니디스근/오르소시폰is Folium/Solidaginis
3263	Orlistat	오르리스타트
3264	Ornidazole	오르니다졸
3265	Orphenadrine	오르페나드린
3266	Oseltamivir	오셀타미비르
3267	Osimertinib	오시머티닙
3268	Ospemifene	Ospemifene
3269	Ossopan	오소판
3270	Oxaliplatin	옥살리플라틴
3271	Oxandrolone	옥산드로론
3272	Oxaprozin	옥사프로진
3273	Oxatomide	옥사토마이드
3274	Oxazepam	Oxazepam
3275	Oxcarbazepine	옥스카르바제핀
3276	Oxiconazole	옥시코나졸
3277	Oxidized Regenerated Cellulose	Oxidized Regenerated Cellulose
3278	Oxidronate	옥시드론산
3279	Oxiracetam	옥시라세탐
3280	Oxolamine	옥솔라민
3281	Oxybutynin	옥시부티닌
3282	Oxycodone	옥시코돈
3283	Oxygen	Oxygen
3284	Oxymetazoline	옥시메타졸린
3285	Oxymetholone	옥시메톨론
3286	Oxymorphone	Oxymorphone
3287	Oxytetracycline	옥시테트라사이클린
3288	Oxytetracycline/Polymyxin B	옥시테트라사이클린/폴리믹신 B
3289	Oxytocin	옥시토신
3290	Ozagrel	오자그렐
3291	P-Aminomethyl Benzoic Acid	P-아미노벤조산메틸
3292	P-Aminosalicylate	파라아미노살리실산
3293	Paclitaxel	파클리탁셀
3294	Palbociclib	팔보시클립
3295	Paliperidone	팔리페리돈
3296	Palivizumab	팔리비주맙
3297	Palonosetron	팔로노세트론
3298	Pamidronate	파미드론산
3299	Pancrease	판크레아제
3300	Pancreatin	판크레아틴
3301	Pancreatin/Simethicone	판크레아틴/시메티콘
3302	Pancreatin/Simethicone/Ursodeoxycholic Acid	판크레아틴/시메티콘/우르소데옥시콜산
3303	Pancreatin/Simethicone/Ursodesoxycholic Acid	판크레아틴/시메티콘/우르소데스옥시콜린산
3304	Pancrelipase	판크레리파제
3305	Panitumumab	파니투무맙
3306	Panobinostat	파노비노스타트
3307	Pantethine	판테틴
3308	Pantethine/Tocopherol/Unsaponifiable Matter Of Soybean Oil	판테틴/토코페롤/Unsaponifiable Matter Of 대두유
3309	Pantoprazole	판토프라졸
3310	Papaverine	파파베린
3311	Papaverine/Scopolamine	파파베린/스코폴라민
3312	Paraffin	파라핀
3313	Paraffin/Petrolatumsfertyyellow/Phenylephrine/Shark Liver Oil	파라핀/페트로라툼스퍼티옐로우/페닐레프린/상어간유
3314	Paricalcitol	파리칼시톨
3315	Paroxetine	파록세틴
3316	Pasireotide	파시레오타이드
3317	Pazopanib	파조파닙
3318	Pefloxacin	페플록사신
3319	Pegfilgrastim	페그필그라스팀
3320	Peginterferon Α-2A	페그인터페론 Α-2A
3321	Peginterferon Β-1A	페그인터페론 Β-1A
3322	Pegteograstim	페그테오그라스팀
3323	Pelargonium Sidoides	펠라고니움시도이데스
3324	Pelubiprofen	펠루비프로펜
3325	Pembrolizumab	펨브롤리주맙
3326	Pemetrexed	페메트렉시드
3327	Pemirolast	페미로라스트
3328	Penicillamine	디페니실라민
3329	Penicillin G	페니실린G
3330	Pentamidine Isethionate	펜타미딘이세티온산염
3331	Pentastarch	Pentastarch
3332	Pentazocine	펜타조신
3333	Pentobarbital	펜토바르비탈
3334	Pentosan Polysulfate	펜토산폴리황산
3335	Pentostatin	펜토스타틴
3336	Pentoxifylline	펜톡시필린
3337	Pentoxyverine	펜톡시베린
3338	Peppermint	Peppermint
3339	Peptides From Thymus	Peptides From Thymus
3340	Peracetic Acid	과아세트산
3341	Peramivir	페라미비르
3342	Perampanel	페람파넬
3343	Perflutren	퍼플루트렌
3344	Perindopril	페린도프릴
3345	Permethrin	퍼메트린
3346	Perphenazine	페르페나진
3347	Pertuzumab	퍼투주맙
3348	Petasites Hybridus	Petasites Hybridus
3349	Pethidine	페티딘
3350	Phellinus Linteus Mycelliun	상황버섯균사체
3351	Phellodendron Bark/Sodium Bicarbonate	황백/탄산수소나트륨
3352	Phellodendron Bark/Sodium Bicarbonate/Swertiae Herba	황백/탄산수소나트륨/당약
3353	Phenazopyridine	페나조피리딘
3354	Phendimetrazine	펜디메트라진
3355	Phenelzine	Phenelzine
3356	Pheniramine/Phenylephrine	페니라민/페닐레프린
3357	Phenobarbital	페노바르비탈
3358	Phenol	페놀
3359	Phenoxybenzamine	Phenoxybenzamine
3360	Phenoxyethanol/Triticum Vulgare	페녹시에탄올/Triticum Vulgare
3361	Phentermine	펜터민
3362	Phentolamine	펜토라민
3363	Phenylephrine	페닐레프린
3364	Phenylephrine/Tropicamide	페닐레프린/트로픽아미드
3365	Phenytoin	페니토인
3366	Phloroglucinol	플로로글루시놀
3367	Phloroglucinol/Trimethylphloroglucinol	플로로글루시놀/트리메틸플로로글루시놀
3368	Photogem	Photogem
3369	Pilocarpine	필로카르핀
3370	Pilsicainide	필시카이니드
3371	Pimavanserin	Pimavanserin
3372	Pimecrolimus	피메크로리무스
3373	Pimozide	피모지드
3374	Pinaverium	피나베륨
3375	Pinazepam	피나제팜
3376	Pindolol	Pindolol
3377	Pioglitazone	피오글리타존
3378	Pipemidic Acid	피페미드산
3379	Piperacillin	피페라실린
3380	Piperacillin/Sulbactam	피페라실린/설박탐
3381	Piperacillin/Tazobactam	피페라실린/타조박탐
3382	Piperonyl Butoxide/Pyrethrin	Piperonyl Butoxide/Pyrethrin
3383	Piprinhydrinate	피프린히드리네이트
3384	Piracetam	피라세탐
3385	Pirenoxine	피레녹신
3386	Pirfenidone	피르페니돈
3387	Piroxicam	피록시캄
3388	Pitavastatin	피타바스타틴
3389	Pitavastatin/Valsartan	피타바스타틴/발사르탄
3390	Plantaginis Ovatae Semen/Plantaginis Ovatae Testa/Sennae Fructus Angustifoliae	Plantaginis Ovatae Semen/Plantaginis Ovatae Testa/센나열매 Angustifoliae
3391	Plantaginis Semen/Sennae Fructus	Plantaginis Semen/센나열매
3392	Plantago	Plantago
3393	Plerixafor	플레릭사포르
3394	Pneumococal 7 Valents Conjugate Vaccine	Pneumococal 7 Valents Conjugate Vaccine
3395	Pneumococcal Vaccine	Pneumococcal Vaccine
3396	Polaprezinc	폴라프레징크
3397	Policresulen	폴리크레줄렌
3398	Polidocanol 470/Urea	Polidocanol 470/요소
3399	Poliomyelitis Virus Types Ⅰ 40D Antigen/Poliomyelitis Virus Types Ⅱ 8D Antigen/Poliomyelitis Virus Types Ⅲ 32D Antigen	불활화폴리오바이러스제1형40D/불활화폴리오바이러스제2형8D/불활화폴리오바이러스제3형32D
3400	Polmacoxib	폴마콕시브
3401	Polydeoxyribonucleotide	폴리데옥시리보뉴클레오티드
3402	Polyethylene glycol	폴리에틸렌글리콜
3403	Polyethylene Glycol 3350/Potassium Chloride/Sodium Bicarbonate/Sodium Chloride	폴리에틸렌글리콜 3350/염화칼륨/탄산수소나트륨/염화나트륨
3404	Polyethylene Glycol 3350/Potassium Chloride/Sodium Bicarbonate/Sodium Chloride/Sodium Sulfate	폴리에틸렌글리콜 3350/염화칼륨/탄산수소나트륨/염화나트륨/황산나트륨
